Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AMZN|2025-05-02,AMZN,2025/5/2,191.435,192.88,186.4,189.98,190.2,0.006493165,-0.007600491,0.006936095
AMZN|2025-05-05,AMZN,2025/5/5,186.51,188.18,185.53,186.35,189.98,-0.018265081,-0.000857863,0.011302193
AMZN|2025-05-06,AMZN,2025/5/6,184.57,187.93,183.85,185.01,186.35,-0.009551918,0.002383919,0.006684719
AMZN|2025-05-07,AMZN,2025/5/7,185.56,190.99,185.01,188.71,185.01,0.002972812,0.016975641,0.008573944
AMZN|2025-05-08,AMZN,2025/5/8,191.43,194.33,188.82,192.08,188.71,0.014413651,0.003395497,0.010006389
AMZN|2025-05-09,AMZN,2025/5/9,193.375,194.69,191.16,193.06,192.08,0.006741983,-0.001628959,0.004696773
AMZN|2025-05-12,AMZN,2025/5/12,210.71,211.66,205.75,208.64,193.06,0.091422356,-0.009823929,0.058782985
AMZN|2025-05-13,AMZN,2025/5/13,211.08,214.84,210.1,211.37,208.64,0.011694785,0.001373887,0.007566426
AMZN|2025-05-14,AMZN,2025/5/14,211.45,211.93,208.85,210.25,211.37,0.000378483,-0.0056751,0.00249713
AMZN|2025-05-15,AMZN,2025/5/15,206.45,206.88,202.673,205.17,210.25,-0.018073722,-0.006200048,0.013324252
AMZN|2025-05-16,AMZN,2025/5/16,206.85,206.85,204.374,205.59,205.17,0.008188332,-0.006091371,0.007349547
AMZN|2025-05-19,AMZN,2025/5/19,201.645,206.62,201.26,206.16,205.59,-0.019188676,0.022390835,0.02046954
AMZN|2025-05-20,AMZN,2025/5/20,204.628,205.5899,202.65,204.07,206.16,-0.007431121,-0.0027269,0.005549433
AMZN|2025-05-21,AMZN,2025/5/21,201.61,203.455,200.06,201.12,204.07,-0.012054687,-0.002430435,0.008204986
AMZN|2025-05-22,AMZN,2025/5/22,201.38,205.76,200.16,203.1,201.12,0.001292761,0.008541067,0.004192083
AMZN|2025-05-23,AMZN,2025/5/23,198.9,202.37,197.85,200.99,203.1,-0.020679468,0.010507793,0.016610798
AMZN|2025-05-27,AMZN,2025/5/27,203.085,206.69,202.19,206.02,200.99,0.010423404,0.014452077,0.012034873
AMZN|2025-05-28,AMZN,2025/5/28,205.915,207.66,204.41,204.72,206.02,-0.000509659,-0.005803365,0.002627142
AMZN|2025-05-29,AMZN,2025/5/29,208.025,208.81,204.23,205.7,204.72,0.016144002,-0.011176541,0.014157017
AMZN|2025-05-30,AMZN,2025/5/30,204.84,205.99,201.695,205.01,205.7,-0.004180846,0.000829916,0.002840474
AMZN|2025-06-02,AMZN,2025/6/2,204.98,207,202.68,206.65,205.01,-0.000146334,0.008147136,0.003346655
AMZN|2025-06-03,AMZN,2025/6/3,207.105,208.9469,205.03,205.71,206.65,0.00220179,-0.006735714,0.00401536
AMZN|2025-06-04,AMZN,2025/6/4,206.55,208.18,205.18,207.23,205.71,0.004083418,0.003292181,0.003766923
AMZN|2025-06-05,AMZN,2025/6/5,209.55,212.81,207.56,207.91,207.23,0.01119529,-0.007826294,0.009847692
AMZN|2025-06-06,AMZN,2025/6/6,212.4,213.8699,210.5,213.57,207.91,0.021595883,0.005508475,0.01516092
AMZN|2025-06-09,AMZN,2025/6/9,214.75,217.85,212.88,216.98,213.57,0.005525121,0.010384168,0.007468739
AMZN|2025-06-10,AMZN,2025/6/10,216.78,217.69,214.15,217.61,216.98,-0.000921744,0.003828766,0.002084553
